Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:57:13] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:58:47] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:07:36] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:56:12] 	7.960	+0.460	+6.1	8	7.950	7.960	1	8.050	7.630
[10:58:32] 	7.940	+0.440	+5.9	56	7.930	7.940	3	8.050	7.630
[11:00:43] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[11:01:55] 	7.910	+0.410	+5.5	1	7.910	7.930	4	8.050	7.630
[11:03:12] 	7.920	+0.420	+5.6	16	7.910	7.920	2	8.050	7.630
[11:04:51] 	7.900	+0.400	+5.3	1	7.900	7.910	6	8.050	7.630
[11:06:58] 	7.880	+0.380	+5.1	54	7.880	7.890	45	8.050	7.630
[11:09:25] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[11:13:40] 	7.950	+0.450	+6.0	7	7.920	7.940	2	8.050	7.630
[11:15:57] 	7.930	+0.430	+5.7	27	7.920	7.940	13	8.050	7.630
[11:17:55] 	7.930	+0.430	+5.7	17	7.910	7.930	6	8.050	7.630
[11:20:02] 	7.930	+0.430	+5.7	5	7.920	7.930	2	8.050	7.630
[11:22:21] 	7.900	+0.400	+5.3	24	7.890	7.900	2	8.050	7.630
[11:24:40] 	7.870	+0.370	+4.9	13	7.850	7.870	4	8.050	7.630
[11:27:16] 	7.900	+0.400	+5.3	1	7.880	7.910	14	8.050	7.630
[11:30:14] 	7.900	+0.400	+5.3	9	7.870	7.900	23	8.050	7.630
[11:32:33] 	7.900	+0.400	+5.3	1	7.880	7.890	3	8.050	7.630
[11:34:48] 	7.880	+0.380	+5.1	2	7.850	7.870	12	8.050	7.630
[11:36:26] 	7.900	+0.400	+5.3	2	7.900	7.910	9	8.050	7.630
[11:37:16] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[11:38:49] 	7.900	+0.400	+5.3	7	7.890	7.910	14	8.050	7.630
[11:39:55] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[11:41:40] 	7.890	+0.390	+5.2	5	7.890	7.910	16	8.050	7.630
[11:44:12] 	7.880	+0.380	+5.1	8	7.870	7.880	8	8.050	7.630
[11:46:18] 	7.860	+0.360	+4.8	1	7.870	7.880	9	8.050	7.630
[11:48:29] 	7.900	+0.400	+5.3	2	7.900	7.910	14	8.050	7.630
[11:50:30] 	7.910	+0.410	+5.5	3	7.900	7.920	5	8.050	7.630
[11:52:37] 	7.920	+0.420	+5.6	5	7.920	7.930	2	8.050	7.630
[11:55:15] 	7.860	+0.360	+4.8	9	7.850	7.860	1	8.050	7.630
[11:57:19] 	7.860	+0.360	+4.8	1	7.860	7.880	8	8.050	7.630
[11:58:54] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:00:36] 	7.860	+0.360	+4.8	2	7.860	7.880	3	8.050	7.630
[12:02:38] 	7.860	+0.360	+4.8	4	7.860	7.870	5	8.050	7.630
[12:05:02] 	7.850	+0.350	+4.7	2	7.850	7.880	1	7.850	7.850
[12:07:28] 	7.880	+0.380	+5.1	6	7.860	7.880	5	8.050	7.630
[12:09:47] 	7.870	+0.370	+4.9	6	7.870	7.890	7	8.050	7.630
[12:11:55] 	7.940	+0.440	+5.9	19	7.930	7.940	1	8.050	7.630
[12:14:14] 	7.950	+0.450	+6.0	7	7.950	7.960	9	8.050	7.630
[12:16:14] 	7.960	+0.460	+6.1	7	7.940	7.960	9	8.050	7.630
[12:18:14] 	7.930	+0.430	+5.7	6	7.910	7.920	4	8.050	7.630
[12:20:07] 	7.890	+0.390	+5.2	7	7.890	7.900	2	8.050	7.630
[12:22:03] 	7.890	+0.390	+5.2	1	7.880	7.890	7	8.050	7.630
[12:23:31] 	7.900	+0.400	+5.3	15	7.880	7.900	1	8.050	7.630
[12:24:40] 	7.900	+0.400	+5.3	15	7.900	7.910	4	8.050	7.630
[12:25:54] 	7.940	+0.440	+5.9	3	7.920	7.940	4	8.050	7.630
[12:27:17] 	7.890	+0.390	+5.2	10	7.890	7.910	6	8.050	7.630
[12:28:30] 	7.910	+0.410	+5.5	4	7.910	7.930	2	8.050	7.630
[12:29:43] 	7.920	+0.420	+5.6	3	7.910	7.920	1	8.050	7.630
[12:30:45] 	7.930	+0.430	+5.7	2	7.930	7.950	6	8.050	7.630
[12:31:54] 	7.930	+0.430	+5.7	8	7.910	7.950	5	8.050	7.630
[12:33:27] 	7.930	+0.430	+5.7	8	7.910	7.940	1	8.050	7.630
[12:41:17] 	7.930	+0.430	+5.7	1	8.030	7.940	6	8.050	7.630
[13:10:10] 	7.930	+0.430	+5.7	1	8.030	7.930	1	8.050	7.630
[13:40:01] 	7.930	+0.430	+5.7	1	8.030	7.920	1	8.050	7.630
[13:42:32] 	7.930	+0.430	+5.7	3	8.320	7.920	1	8.050	7.630
[13:43:58] 	7.930	+0.430	+5.7	2	8.320	7.920	1	8.050	7.630
[13:57:02] 	7.930	+0.430	+5.7	3	8.030	7.920	2	8.050	7.630
[13:58:10] 	7.950	+0.450	+6.0	3	7.930	7.950	5	8.050	7.630
[13:59:24] 	7.930	+0.430	+5.7	4	7.920	7.990	1	8.050	7.630
[14:00:35] 	7.950	+0.450	+6.0	1	7.950	7.970	1	8.050	7.630
