Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[10:32:59] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:40:36] 	1.370	-0.060	-4.2	42	1.370	1.380	96	1.400	1.370
[10:41:24] 	1.370	-0.060	-4.2	28	1.370	1.380	47	1.400	1.370
[10:42:17] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:42:53] 	1.370	-0.060	-4.2	23	1.370	1.380	54	1.400	1.370
[10:43:24] 	1.370	-0.060	-4.2	24	1.370	1.380	67	1.400	1.370
[10:44:35] 	1.370	-0.060	-4.2	40	1.370	1.380	71	1.400	1.370
[10:45:45] 	1.370	-0.060	-4.2	40	1.370	1.380	77	1.400	1.370
[10:46:45] 	1.370	-0.060	-4.2	41	1.370	1.380	93	1.400	1.370
[10:47:37] 	1.370	-0.060	-4.2	41	1.370	1.380	97	1.400	1.370
[10:49:31] 	1.370	-0.060	-4.2	29	1.370	1.380	88	1.400	1.370
[10:50:36] 	1.370	-0.060	-4.2	73	1.360	1.370	53	1.400	1.370
[10:51:39] 	1.370	-0.060	-4.2	52	1.360	1.370	12	1.400	1.360
[10:52:41] 	1.370	-0.060	-4.2	52	1.360	1.370	15	1.400	1.360
[10:53:42] 	1.370	-0.060	-4.2	52	1.360	1.370	5	1.400	1.360
[10:54:32] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:55:03] 	1.370	-0.060	-4.2	6	1.370	1.380	33	1.400	1.360
[10:55:56] 	1.370	-0.060	-4.2	6	1.370	1.380	34	1.400	1.360
[10:57:02] 	1.370	-0.060	-4.2	30	1.370	1.380	45	1.400	1.360
[10:58:07] 	1.370	-0.060	-4.2	82	1.370	1.380	42	1.400	1.360
[10:59:10] 	1.370	-0.060	-4.2	82	1.370	1.380	48	1.400	1.360
[10:59:51] 	1.370	-0.060	-4.2	83	1.370	1.380	48	1.400	1.360
[11:00:33] 	1.370	-0.060	-4.2	83	1.370	1.380	55	1.400	1.360
[11:01:31] 	1.370	-0.060	-4.2	93	1.370	1.380	68	1.400	1.360
[11:02:44] 	1.370	-0.060	-4.2	95	1.370	1.380	63	1.400	1.360
[11:03:59] 	1.370	-0.060	-4.2	93	1.370	1.380	64	1.400	1.360
[11:04:57] 	1.370	-0.060	-4.2	93	1.370	1.380	83	1.400	1.360
[11:05:59] 	1.370	-0.060	-4.2	93	1.370	1.380	108	1.400	1.360
[11:07:04] 	1.370	-0.060	-4.2	94	1.370	1.380	100	1.400	1.360
[11:08:48] 	1.370	-0.060	-4.2	85	1.370	1.380	109	1.400	1.360
[11:10:33] 	1.370	-0.060	-4.2	95	1.370	1.380	110	1.400	1.360
[11:12:02] 	1.370	-0.060	-4.2	102	1.370	1.380	110	1.400	1.360
[11:12:43] 	1.370	-0.060	-4.2	102	1.370	1.380	112	1.400	1.360
[11:13:29] 	1.370	-0.060	-4.2	96	1.370	1.380	112	1.400	1.360
[11:15:01] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[11:15:32] 	1.380	-0.050	-3.5	95	1.370	1.380	112	1.400	1.360
[11:16:28] 	1.380	-0.050	-3.5	95	1.370	1.380	113	1.400	1.360
[11:17:27] 	1.370	-0.060	-4.2	103	1.370	1.380	113	1.400	1.360
[11:18:44] 	1.370	-0.060	-4.2	103	1.370	1.380	117	1.400	1.360
[11:19:50] 	1.370	-0.060	-4.2	105	1.370	1.380	117	1.400	1.360
[11:21:08] 	1.370	-0.060	-4.2	105	1.370	1.380	119	1.400	1.360
[11:22:49] 	1.370	-0.060	-4.2	105	1.370	1.380	120	1.400	1.360
[11:25:17] 	1.370	-0.060	-4.2	31	1.370	1.380	122	1.400	1.360
[11:26:19] 	1.370	-0.060	-4.2	24	1.370	1.380	127	1.400	1.360
[11:27:36] 	1.360	-0.070	-4.9	67	1.350	1.380	140	1.400	1.360
[11:28:41] 	1.360	-0.070	-4.9	67	1.350	1.360	267	1.400	1.360
[11:29:57] 	1.360	-0.070	-4.9	67	1.350	1.360	269	1.400	1.360
[11:30:59] 	1.350	-0.080	-5.6	52	1.350	1.360	267	1.400	1.350
[11:32:02] 	1.360	-0.070	-4.9	40	1.350	1.370	33	1.400	1.350
[11:33:05] 	1.360	-0.070	-4.9	139	1.360	1.370	67	1.400	1.350
[11:34:07] 	1.370	-0.060	-4.2	38	1.370	1.380	122	1.400	1.350
[11:35:15] 	1.370	-0.060	-4.2	38	1.370	1.380	127	1.400	1.350
[11:36:17] 	1.370	-0.060	-4.2	59	1.370	1.380	128	1.400	1.350
[11:38:42] 	1.370	-0.060	-4.2	59	1.370	1.380	124	1.400	1.350
[11:41:08] 	1.370	-0.060	-4.2	59	1.370	1.380	125	1.400	1.350
