Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[16:05:00] 	2.720	+0.040	+1.5	224	2.720	2.730	218	2.780	2.710
[16:06:18] 	2.730	+0.050	+1.9	232	2.720	2.730	214	2.780	2.710
[16:07:26] 	2.720	+0.040	+1.5	70	2.720	2.730	209	2.780	2.710
[16:08:33] 	2.720	+0.040	+1.5	104	2.720	2.730	229	2.780	2.710
[16:09:51] 	2.720	+0.040	+1.5	103	2.720	2.730	235	2.780	2.710
[16:11:05] 	2.720	+0.040	+1.5	115	2.720	2.730	224	2.780	2.710
[16:12:18] 	2.730	+0.050	+1.9	127	2.720	2.730	229	2.780	2.710
[16:13:38] 	2.720	+0.040	+1.5	135	2.720	2.730	218	2.780	2.710
[16:14:41] 	2.720	+0.040	+1.5	134	2.720	2.730	217	2.780	2.710
[16:15:45] 	2.720	+0.040	+1.5	201	2.720	2.730	201	2.780	2.710
[16:16:49] 	2.720	+0.040	+1.5	206	2.720	2.730	211	2.780	2.710
[16:18:00] 	2.720	+0.040	+1.5	205	2.720	2.730	226	2.780	2.710
[16:19:09] 	2.720	+0.040	+1.5	201	2.720	2.730	213	2.780	2.710
[16:20:13] 	2.720	+0.040	+1.5	224	2.720	2.730	225	2.780	2.710
[16:21:20] 	2.720	+0.040	+1.5	215	2.720	2.730	215	2.780	2.710
[16:22:25] 	2.730	+0.050	+1.9	131	2.720	2.730	164	2.780	2.710
[16:23:31] 	2.730	+0.050	+1.9	169	2.720	2.730	119	2.780	2.710
[16:24:37] 	2.730	+0.050	+1.9	160	2.720	2.740	360	2.780	2.710
[16:25:47] 	2.730	+0.050	+1.9	24	2.730	2.740	365	2.780	2.710
[16:27:11] 	2.730	+0.050	+1.9	31	2.730	2.740	369	2.780	2.710
[16:28:17] 	2.730	+0.050	+1.9	171	2.720	2.730	73	2.780	2.710
[16:29:21] 	2.730	+0.050	+1.9	156	2.720	2.730	23	2.780	2.710
[16:30:24] 	2.730	+0.050	+1.9	25	2.730	2.740	369	2.780	2.710
[16:31:36] 	2.730	+0.050	+1.9	54	2.730	2.740	414	2.780	2.710
[16:32:41] 	2.730	+0.050	+1.9	65	2.730	2.740	396	2.780	2.710
[16:33:32] 	2.730	+0.050	+1.9	79	2.730	2.740	398	2.780	2.710
[16:34:44] 	2.730	+0.050	+1.9	98	2.730	2.740	401	2.780	2.710
[16:35:48] 	2.730	+0.050	+1.9	101	2.730	2.740	400	2.780	2.710
[16:37:10] 	2.730	+0.050	+1.9	127	2.730	2.740	409	2.780	2.710
[16:38:16] 	2.730	+0.050	+1.9	11	2.730	2.740	390	2.780	2.710
[16:39:24] 	2.730	+0.050	+1.9	245	2.720	2.730	27	2.780	2.710
[16:40:36] 	2.730	+0.050	+1.9	246	2.720	2.730	72	2.780	2.710
[16:41:39] 	2.730	+0.050	+1.9	251	2.720	2.730	63	2.780	2.710
[16:43:10] 	2.730	+0.050	+1.9	29	2.730	2.740	367	2.780	2.710
[16:44:12] 	2.730	+0.050	+1.9	9	2.730	2.740	369	2.780	2.710
[16:45:25] 	2.730	+0.050	+1.9	24	2.730	2.740	368	2.780	2.710
[16:46:12] 	2.730	+0.050	+1.9	260	2.720	2.730	32	2.780	2.710
[16:47:10] 	2.730	+0.050	+1.9	217	2.720	2.730	57	2.780	2.710
[16:48:13] 	2.730	+0.050	+1.9	252	2.720	2.730	82	2.780	2.710
[16:49:16] 	2.730	+0.050	+1.9	249	2.720	2.730	85	2.780	2.710
[16:50:19] 	2.730	+0.050	+1.9	266	2.720	2.730	127	2.780	2.710
[16:51:27] 	2.730	+0.050	+1.9	271	2.720	2.730	112	2.780	2.710
[16:52:29] 	2.730	+0.050	+1.9	337	2.720	2.730	89	2.780	2.710
[16:53:37] 	2.730	+0.050	+1.9	374	2.720	2.730	29	2.780	2.710
[16:54:39] 	2.730	+0.050	+1.9	385	2.720	2.730	117	2.780	2.710
[16:55:42] 	2.730	+0.050	+1.9	21	2.730	2.740	265	2.780	2.710
[16:56:54] 	2.730	+0.050	+1.9	63	2.730	2.740	261	2.780	2.710
[16:58:09] 	2.730	+0.050	+1.9	101	2.730	2.740	271	2.780	2.710
[16:59:17] 	2.730	+0.050	+1.9	160	2.730	2.740	255	2.780	2.710
[17:00:29] 	2.740	+0.060	+2.2	290	2.730	2.740	203	2.780	2.710
[17:01:42] 	2.740	+0.060	+2.2	1	3.340	2.000	20	2.780	2.710
[17:03:50] 	2.740	+0.060	+2.2	1	3.340	2.000	35	2.780	2.710
[17:07:15] 	2.740	+0.060	+2.2	53	2.740	2.750	328	2.780	2.710
[17:43:41] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[17:44:28] 	2.740	+0.060	+2.2	53	2.740	2.750	328	2.780	2.710
[17:53:24] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
