Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:55:48] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:56:30] 	2.680	-0.060	-2.2	317	2.670	2.680	119	2.770	2.670
[09:56:32] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:56:46] 	2.680	-0.060	-2.2	317	2.670	2.680	119	2.770	2.670
[09:57:32] 	2.680	-0.060	-2.2	316	2.670	2.680	119	2.770	2.670
[09:58:03] 	2.670	-0.070	-2.6	342	2.670	2.680	136	2.770	2.670
[09:59:34] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:00:00] 	2.680	-0.060	-2.2	161	2.680	2.690	612	2.770	2.670
[10:01:51] 	2.670	-0.070	-2.6	111	2.670	2.680	235	2.770	2.670
[10:03:58] 	2.650	-0.090	-3.3	266	2.650	2.660	227	2.770	2.650
[10:05:00] 	2.660	-0.080	-2.9	525	2.650	2.660	348	2.770	2.650
[10:06:25] 	2.660	-0.080	-2.9	476	2.650	2.660	355	2.770	2.650
[10:07:40] 	2.650	-0.090	-3.3	446	2.650	2.660	356	2.770	2.650
[10:09:34] 	2.650	-0.090	-3.3	208	2.640	2.650	11	2.770	2.650
[10:10:30] 	2.640	-0.100	-3.6	189	2.640	2.650	242	2.770	2.640
[10:11:35] 	2.640	-0.100	-3.6	212	2.640	2.650	145	2.770	2.640
[10:12:20] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:12:20] 	2.640	-0.100	-3.6	213	2.640	2.650	449	2.770	2.640
[10:12:57] 	2.630	-0.110	-4.0	86	2.620	2.630	13	2.770	2.630
[10:14:44] 	2.630	-0.110	-4.0	224	2.630	2.640	156	2.770	2.630
[10:15:51] 	2.630	-0.110	-4.0	257	2.630	2.640	274	2.770	2.630
[10:16:55] 	2.630	-0.110	-4.0	323	2.620	2.630	118	2.770	2.630
[10:18:05] 	2.620	-0.120	-4.4	143	2.620	2.630	342	2.770	2.620
[10:19:14] 	2.620	-0.120	-4.4	216	2.620	2.630	356	2.770	2.620
[10:20:07] 	2.620	-0.120	-4.4	317	2.620	2.630	357	2.770	2.620
[10:21:11] 	2.640	-0.100	-3.6	347	2.630	2.640	257	2.770	2.620
[10:22:16] 	2.640	-0.100	-3.6	483	2.630	2.640	94	2.770	2.620
[10:23:40] 	2.640	-0.100	-3.6	193	2.640	2.650	407	2.770	2.620
[10:24:44] 	2.640	-0.100	-3.6	190	2.640	2.650	357	2.770	2.620
[10:26:23] 	2.640	-0.100	-3.6	201	2.640	2.650	377	2.770	2.620
[10:27:34] 	2.650	-0.090	-3.3	330	2.640	2.650	392	2.770	2.620
[10:28:39] 	2.640	-0.100	-3.6	315	2.640	2.650	492	2.770	2.620
[10:30:32] 	2.650	-0.090	-3.3	333	2.640	2.650	417	2.770	2.620
[10:31:46] 	2.650	-0.090	-3.3	352	2.650	2.660	372	2.770	2.620
[10:32:55] 	2.670	-0.070	-2.6	247	2.660	2.670	78	2.770	2.620
[10:34:09] 	2.660	-0.080	-2.9	318	2.650	2.660	126	2.770	2.620
[10:35:15] 	2.660	-0.080	-2.9	45	2.660	2.670	280	2.770	2.620
[10:36:25] 	2.660	-0.080	-2.9	320	2.650	2.660	63	2.770	2.620
[10:37:31] 	2.650	-0.090	-3.3	235	2.650	2.660	163	2.770	2.620
[10:38:47] 	2.650	-0.090	-3.3	95	2.650	2.660	207	2.770	2.620
[10:39:58] 	2.650	-0.090	-3.3	88	2.650	2.660	208	2.770	2.620
[10:41:08] 	2.660	-0.080	-2.9	90	2.650	2.660	149	2.770	2.620
[10:42:19] 	2.650	-0.090	-3.3	60	2.650	2.660	144	2.770	2.620
[10:43:09] 	2.650	-0.090	-3.3	273	2.640	2.650	67	2.770	2.620
[10:44:02] 	2.650	-0.090	-3.3	75	2.650	2.660	159	2.770	2.620
[10:45:15] 	2.650	-0.090	-3.3	84	2.650	2.660	101	2.770	2.620
[10:46:22] 	2.650	-0.090	-3.3	114	2.650	2.660	76	2.770	2.620
[10:47:31] 	2.650	-0.090	-3.3	192	2.650	2.660	76	2.770	2.620
[10:48:42] 	2.650	-0.090	-3.3	93	2.650	2.660	108	2.770	2.620
[10:49:53] 	2.650	-0.090	-3.3	171	2.650	2.660	176	2.770	2.620
[10:51:03] 	2.650	-0.090	-3.3	202	2.650	2.660	226	2.770	2.620
[10:51:55] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:52:26] 	2.650	-0.090	-3.3	204	2.650	2.660	173	2.770	2.620
[10:53:09] 	2.650	-0.090	-3.3	208	2.650	2.660	143	2.770	2.620
[10:54:03] 	2.650	-0.090	-3.3	236	2.650	2.660	140	2.770	2.620
[10:55:09] 	2.660	-0.080	-2.9	239	2.650	2.660	140	2.770	2.620
[10:56:28] 	2.660	-0.080	-2.9	178	2.650	2.660	15	2.770	2.620
