Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:51:08] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:52:17] 	8.320	+0.190	+2.3	26	8.320	8.330	44	8.340	8.150
[09:53:34] 	8.310	+0.180	+2.2	23	8.310	8.320	27	8.340	8.150
[09:54:45] 	8.310	+0.180	+2.2	32	8.300	8.310	2	8.340	8.150
[09:57:12] 	8.310	+0.180	+2.2	40	8.300	8.310	19	8.340	8.150
[09:58:34] 	8.310	+0.180	+2.2	56	8.300	8.310	40	8.340	8.150
[10:00:02] 	8.300	+0.170	+2.1	78	8.300	8.310	21	8.340	8.150
[10:41:35] 	8.330	+0.200	+2.5	1	8.330	8.340	1	8.380	8.150
[10:42:44] 	8.340	+0.210	+2.6	39	8.340	8.350	20	8.380	8.150
[10:43:53] 	8.360	+0.230	+2.8	18	8.350	8.360	29	8.380	8.150
[10:45:00] 	8.340	+0.210	+2.6	15	8.340	8.350	23	8.380	8.150
[10:46:24] 	8.340	+0.210	+2.6	26	8.340	8.350	5	8.380	8.150
[10:47:30] 	8.350	+0.220	+2.7	33	8.340	8.350	3	8.380	8.150
[10:48:50] 	8.350	+0.220	+2.7	43	8.340	8.350	13	8.380	8.150
[10:50:13] 	8.350	+0.220	+2.7	11	8.340	8.350	18	8.380	8.150
[10:51:20] 	8.350	+0.220	+2.7	33	8.340	8.350	16	8.380	8.150
[10:52:35] 	8.350	+0.220	+2.7	33	8.340	8.350	20	8.380	8.150
[10:54:08] 	8.340	+0.210	+2.6	33	8.330	8.350	21	8.380	8.150
[10:55:16] 	8.340	+0.210	+2.6	21	8.330	8.340	5	8.380	8.150
[10:57:31] 	8.340	+0.210	+2.6	36	8.330	8.340	6	8.380	8.150
[10:58:45] 	8.330	+0.200	+2.5	48	8.330	8.340	9	8.380	8.150
[10:59:51] 	8.340	+0.210	+2.6	10	8.340	8.350	23	8.380	8.150
[11:00:56] 	8.360	+0.230	+2.8	60	8.350	8.360	48	8.380	8.150
[11:02:10] 	8.360	+0.230	+2.8	65	8.350	8.360	47	8.380	8.150
[11:03:39] 	8.360	+0.230	+2.8	68	8.350	8.360	51	8.380	8.150
[11:04:46] 	8.360	+0.230	+2.8	69	8.350	8.360	51	8.380	8.150
[11:06:01] 	8.350	+0.220	+2.7	60	8.350	8.360	53	8.380	8.150
[11:07:06] 	8.350	+0.220	+2.7	59	8.350	8.360	57	8.380	8.150
[11:08:16] 	8.350	+0.220	+2.7	29	8.340	8.360	53	8.380	8.150
[11:09:26] 	8.340	+0.210	+2.6	14	8.340	8.350	76	8.380	8.150
[11:10:31] 	8.340	+0.210	+2.6	24	8.340	8.350	76	8.380	8.150
[11:11:46] 	8.350	+0.220	+2.7	31	8.350	8.360	48	8.380	8.150
[11:12:55] 	8.370	+0.240	+3.0	32	8.360	8.370	56	8.380	8.150
[11:14:03] 	8.360	+0.230	+2.8	35	8.360	8.370	56	8.380	8.150
[11:15:22] 	8.360	+0.230	+2.8	43	8.360	8.370	56	8.380	8.150
[11:15:53] 	8.360	+0.230	+2.8	25	8.360	8.370	52	8.380	8.150
[11:16:27] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[11:17:22] 	8.360	+0.230	+2.8	49	8.360	8.370	58	8.380	8.150
[11:18:28] 	8.360	+0.230	+2.8	48	8.360	8.370	63	8.380	8.150
[11:19:33] 	8.360	+0.230	+2.8	68	8.350	8.360	77	8.380	8.150
[11:20:55] 	8.350	+0.220	+2.7	26	8.340	8.350	1	8.380	8.150
[11:22:08] 	8.350	+0.220	+2.7	22	8.350	8.370	74	8.380	8.150
[11:23:17] 	8.360	+0.230	+2.8	22	8.350	8.360	3	8.380	8.150
[11:24:08] 	8.360	+0.230	+2.8	27	8.350	8.370	72	8.380	8.150
[11:25:02] 	8.360	+0.230	+2.8	10	8.360	8.370	63	8.380	8.150
[11:26:30] 	8.360	+0.230	+2.8	14	8.360	8.370	61	8.380	8.150
[11:27:54] 	8.360	+0.230	+2.8	15	8.360	8.370	59	8.380	8.150
[11:29:01] 	8.350	+0.220	+2.7	26	8.340	8.350	8	8.380	8.150
