Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:55:40] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:55:56] 	9.820	-0.060	-0.6	120	9.790	9.820	80	9.850	9.820
[09:57:57] 	9.820	-0.060	-0.6	120	9.800	9.830	30	9.850	9.820
[09:58:11] 	9.820	-0.060	-0.6	60	9.800	9.830	155	9.850	9.820
[09:59:02] 	9.820	-0.060	-0.6	30	9.800	9.830	155	9.850	9.820
[09:59:42] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:00:06] 	9.820	-0.060	-0.6	120	9.790	9.820	80	9.850	9.820
[10:02:02] 	9.820	-0.060	-0.6	60	9.770	9.800	155	9.850	9.820
[10:04:08] 	9.820	-0.060	-0.6	120	9.790	9.820	80	9.850	9.820
[10:05:10] 	9.800	-0.080	-0.8	120	9.760	9.790	80	9.850	9.800
[10:06:35] 	9.800	-0.080	-0.8	120	9.740	9.770	30	9.850	9.800
[10:07:50] 	9.760	-0.120	-1.2	30	9.740	9.770	155	9.850	9.760
[10:09:40] 	9.760	-0.120	-1.2	30	9.720	9.740	30	9.850	9.760
[10:10:40] 	9.760	-0.120	-1.2	60	9.740	9.770	155	9.850	9.760
[10:11:40] 	9.760	-0.120	-1.2	120	9.730	9.760	80	9.850	9.760
[10:12:31] 	9.760	-0.120	-1.2	60	9.720	9.750	80	9.850	9.760
[10:13:02] 	9.760	-0.120	-1.2	120	9.720	9.750	80	9.850	9.760
[10:16:01] 	9.760	-0.120	-1.2	1	9.700	9.720	80	9.850	9.760
[10:17:05] 	9.680	-0.200	-2.0	120	9.670	9.700	30	9.850	9.680
[10:18:15] 	9.680	-0.200	-2.0	120	9.690	9.720	80	9.850	9.680
[10:19:24] 	9.680	-0.200	-2.0	30	9.700	9.730	155	9.850	9.680
[10:20:17] 	9.680	-0.200	-2.0	90	9.710	9.740	80	9.850	9.680
[10:21:21] 	9.680	-0.200	-2.0	30	9.700	9.720	30	9.850	9.680
[10:22:27] 	9.680	-0.200	-2.0	30	9.710	9.730	30	9.850	9.680
[10:23:50] 	9.680	-0.200	-2.0	120	9.720	9.750	80	9.850	9.680
[10:24:55] 	9.730	-0.150	-1.5	90	9.700	9.730	79	9.850	9.680
[10:26:33] 	9.730	-0.150	-1.5	120	9.680	9.710	80	9.850	9.680
[10:27:45] 	9.730	-0.150	-1.5	60	9.690	9.720	155	9.850	9.680
