Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:56:47] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:57:41] 	2.310	+0.130	+6.0	40	2.300	2.310	40	2.310	2.310
[10:05:17] 	2.310	+0.130	+6.0	40	2.310	2.320	40	2.310	2.310
[10:07:31] 	2.310	+0.130	+6.0	40	2.300	2.320	40	2.310	2.310
[10:09:54] 	2.310	+0.130	+6.0	40	2.300	2.310	40	2.310	2.310
[10:35:52] 	2.310	+0.130	+6.0	41	2.300	2.310	40	2.310	2.310
[10:39:14] 	2.310	+0.130	+6.0	41	2.300	2.320	40	2.310	2.310
[10:40:28] 	2.310	+0.130	+6.0	40	2.310	2.320	40	2.310	2.310
[10:45:47] 	2.310	+0.130	+6.0	41	2.300	2.320	40	2.310	2.310
[10:46:52] 	2.310	+0.130	+6.0	41	2.300	2.310	40	2.310	2.310
[11:20:04] 	2.300	+0.120	+5.5	39	2.300	2.310	40	2.310	2.300
[11:33:46] 	2.300	+0.120	+5.5	41	2.300	2.310	40	2.310	2.300
[11:41:53] 	2.310	+0.130	+6.0	41	2.300	2.310	38	2.310	2.300
[11:43:09] 	2.310	+0.130	+6.0	39	2.300	2.310	38	2.310	2.300
[11:50:28] 	2.310	+0.130	+6.0	41	2.300	2.310	38	2.310	2.300
[12:29:35] 	2.310	+0.130	+6.0	3	2.300	2.320	40	2.310	2.300
[12:56:39] 	2.310	+0.130	+6.0	3	2.300	2.310	1	2.310	2.300
[13:09:54] 	2.310	+0.130	+6.0	-	2.310	2.310	1	2.310	2.300
[13:49:22] 	2.310	+0.130	+6.0	1	2.310	2.310	1	2.310	2.300
[13:58:08] 	2.310	+0.130	+6.0	-	2.310	-	-	2.310	2.300
[13:59:11] 	2.310	+0.130	+6.0	40	2.310	2.320	40	2.310	2.300
[14:04:40] 	2.310	+0.130	+6.0	40	2.320	2.330	40	2.310	2.300
[14:40:57] 	2.310	+0.130	+6.0	40	2.310	2.320	40	2.310	2.300
[14:48:45] 	2.310	+0.130	+6.0	40	2.320	2.330	40	2.310	2.300
[14:54:13] 	2.310	+0.130	+6.0	40	2.310	2.320	40	2.310	2.300
[14:59:55] 	2.310	+0.130	+6.0	40	2.310	2.330	40	2.310	2.300
[15:01:01] 	2.310	+0.130	+6.0	40	2.320	2.330	40	2.310	2.300
[15:01:53] 	2.310	+0.130	+6.0	40	2.310	2.330	40	2.310	2.300
[15:02:56] 	2.310	+0.130	+6.0	40	2.310	2.320	40	2.310	2.300
[15:23:31] 	2.310	+0.130	+6.0	40	2.320	2.330	40	2.310	2.300
[15:27:37] 	2.310	+0.130	+6.0	40	2.310	2.320	40	2.310	2.300
[15:30:06] 	2.310	+0.130	+6.0	42	2.310	2.320	40	2.310	2.300
[15:41:32] 	2.310	+0.130	+6.0	41	2.300	2.310	38	2.310	2.300
[15:42:36] 	2.310	+0.130	+6.0	40	2.310	2.320	40	2.310	2.300
[15:43:39] 	2.310	+0.130	+6.0	41	2.300	2.310	40	2.310	2.300
[15:44:47] 	2.310	+0.130	+6.0	40	2.310	2.320	40	2.310	2.300
[15:50:43] 	2.310	+0.130	+6.0	41	2.300	2.310	40	2.310	2.300
[15:52:25] 	2.310	+0.130	+6.0	40	2.310	2.320	40	2.310	2.300
[15:54:51] 	2.310	+0.130	+6.0	45	2.300	2.320	40	2.310	2.300
[15:57:07] 	2.310	+0.130	+6.0	45	2.300	2.310	40	2.310	2.300
[15:59:51] 	2.310	+0.130	+6.0	40	2.310	2.320	40	2.310	2.300
[16:05:46] 	2.310	+0.130	+6.0	43	2.310	2.320	40	2.310	2.300
[16:09:04] 	2.310	+0.130	+6.0	3	2.310	2.320	40	2.310	2.300
[16:10:04] 	2.310	+0.130	+6.0	45	2.300	2.320	40	2.310	2.300
[16:11:03] 	2.310	+0.130	+6.0	40	2.310	2.320	40	2.310	2.300
[16:13:29] 	2.310	+0.130	+6.0	45	2.300	2.310	40	2.310	2.300
[16:28:40] 	2.300	+0.120	+5.5	40	2.290	2.300	35	2.310	2.300
[16:34:11] 	2.300	+0.120	+5.5	40	2.300	2.310	40	2.310	2.300
[16:50:16] 	2.300	+0.120	+5.5	40	2.290	2.310	40	2.310	2.300
[16:51:22] 	2.300	+0.120	+5.5	40	2.290	2.300	40	2.310	2.300
[16:55:15] 	2.300	+0.120	+5.5	12	2.290	2.300	12	2.310	2.300
[16:59:26] 	2.290	+0.110	+5.0	1	2.200	2.320	12	2.310	2.290
[17:00:42] 	2.290	+0.110	+5.0	1	2.200	-	-	2.310	2.290
