Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[00:00:12] 	2.100	+0.010	+0.5	3	2.100	-	-	2.100	2.100
[08:28:33] 	-	-	-	-	-	-	-	-	-
[08:30:38] 	-	-	-	-	2.090	-	-	-	-
[09:03:21] 	-	-	-	70	2.140	2.150	70	-	-
[09:15:17] 	-	-	-	70	2.130	2.150	70	-	-
[09:16:29] 	-	-	-	70	2.130	2.140	70	-	-
[09:18:17] 	-	-	-	70	2.140	2.150	70	-	-
[09:33:52] 	2.150	+0.050	+2.4	70	2.140	2.150	53	2.150	2.150
[09:53:39] 	2.150	+0.050	+2.4	70	2.140	2.150	51	2.150	2.150
[10:00:04] 	2.150	+0.050	+2.4	70	2.140	2.150	70	2.150	2.150
[11:03:20] 	2.140	+0.040	+1.9	65	2.140	2.150	70	2.150	2.140
[11:11:05] 	2.140	+0.040	+1.9	70	2.140	2.160	70	2.150	2.140
[11:11:31] 	2.140	+0.040	+1.9	71	2.140	2.150	70	2.150	2.140
[11:12:34] 	2.140	+0.040	+1.9	71	2.140	2.160	70	2.150	2.140
[11:13:37] 	2.140	+0.040	+1.9	71	2.140	2.150	70	2.150	2.140
[11:18:50] 	2.140	+0.040	+1.9	70	2.150	2.160	70	2.150	2.140
[11:19:54] 	2.140	+0.040	+1.9	71	2.140	2.150	70	2.150	2.140
[11:20:25] 	2.140	+0.040	+1.9	70	2.150	2.160	70	2.150	2.140
[11:55:20] 	2.140	+0.040	+1.9	74	2.150	2.160	70	2.150	2.140
[13:49:00] 	2.140	+0.040	+1.9	4	2.150	-	-	2.150	2.140
[14:00:50] 	2.140	+0.040	+1.9	74	2.150	2.160	70	2.150	2.140
[14:45:04] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:45:25] 	2.140	+0.040	+1.9	74	2.150	2.160	70	2.150	2.140
[14:47:58] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:48:19] 	2.140	+0.040	+1.9	74	2.150	2.160	70	2.150	2.140
[15:11:09] 	2.140	+0.040	+1.9	4	2.150	-	-	2.150	2.140
[16:17:38] 	2.140	+0.040	+1.9	70	2.160	2.170	70	2.150	2.140
[16:53:36] 	2.170	+0.070	+3.3	21	2.160	2.170	21	2.170	2.140
[16:54:56] 	2.170	+0.070	+3.3	21	2.160	2.170	16	2.170	2.140
[16:59:46] 	2.170	+0.070	+3.3	3	2.140	-	-	2.170	2.140
[10:18:42] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
