Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:43:28] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:45:43] 	-	-	-	8	14.450	14.500	8	-	-
[09:50:23] 	-	-	-	8	14.440	14.490	8	-	-
[09:52:58] 	-	-	-	8	14.440	14.490	8	-	-
[09:53:16] 	-	-	-	8	14.450	14.500	8	-	-
[09:54:49] 	-	-	-	8	14.450	14.500	8	-	-
[09:55:25] 	-	-	-	20	14.470	14.560	20	-	-
[09:57:46] 	-	-	-	8	14.480	14.530	8	-	-
[09:58:22] 	-	-	-	8	14.490	14.540	8	-	-
[09:59:19] 	-	-	-	8	14.500	14.550	8	-	-
[10:02:23] 	-	-	-	90	14.450	-	-	-	-
[10:03:17] 	-	-	-	8	14.490	14.540	8	-	-
[10:08:30] 	-	-	-	8	14.500	14.550	8	-	-
[10:09:24] 	-	-	-	8	14.490	14.540	8	-	-
[10:16:16] 	-	-	-	8	14.500	14.550	8	-	-
[10:18:24] 	-	-	-	8	14.490	14.540	8	-	-
[10:20:16] 	-	-	-	8	14.500	14.550	8	-	-
[10:21:27] 	-	-	-	8	14.490	14.540	8	-	-
[10:22:21] 	-	-	-	8	14.500	14.550	8	-	-
[10:27:27] 	-	-	-	8	14.490	14.540	8	-	-
[10:40:16] 	-	-	-	8	14.480	14.530	8	-	-
[10:42:15] 	-	-	-	8	14.470	14.520	8	-	-
[10:43:33] 	-	-	-	8	14.480	14.530	8	-	-
[10:44:14] 	-	-	-	8	14.470	14.520	8	-	-
[10:47:23] 	-	-	-	8	14.460	14.510	8	-	-
[10:50:23] 	-	-	-	8	14.420	14.470	8	-	-
[10:53:16] 	-	-	-	8	14.410	14.460	8	-	-
[10:55:30] 	-	-	-	8	14.420	14.470	8	-	-
[10:56:27] 	-	-	-	8	14.400	14.450	8	-	-
[10:57:29] 	-	-	-	8	14.410	14.460	8	-	-
[11:03:14] 	-	-	-	8	14.400	14.450	8	-	-
[11:04:15] 	14.410	-0.280	-1.9	1	14.410	14.460	8	14.410	14.410
[11:05:16] 	14.410	-0.280	-1.9	20	14.390	14.460	8	14.410	14.410
[11:06:28] 	14.410	-0.280	-1.9	20	14.380	14.450	8	14.410	14.410
[11:10:22] 	14.410	-0.280	-1.9	20	14.370	14.440	8	14.410	14.410
[11:14:29] 	14.410	-0.280	-1.9	20	14.360	14.430	8	14.410	14.410
[11:15:23] 	14.410	-0.280	-1.9	20	14.370	14.440	8	14.410	14.410
[11:18:17] 	14.410	-0.280	-1.9	20	14.350	14.420	8	14.410	14.410
