Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[10:15:10] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:18:38] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:18:58] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:55:41] 	1.49	0.01	0.675	178	1.48	1.49	225	1.49	1.47
[16:58:17] 	1.49	0.01	0.675	173	1.48	1.49	225	1.49	1.47
[16:58:51] 	1.49	0.01	0.675	6	1.49	1.49	225	1.49	1.47
[16:59:24] 	1.49	0.01	0.675	6	1.49	1.49	325	1.49	1.47
[17:02:17] 	1.49	0.01	0.675	6	1.49	1.48	30	1.49	1.47
[17:03:08] 	1.49	0.01	0.675	6	1.49	1.48	30	1.49	1.47
[17:05:36] 	1.48	0	0	149	1.48	1.49	325	1.49	1.47
[17:09:05] 	1.48	0	0	149	1.48	1.49	325	1.49	1.47
[17:11:18] 	1.48	0	0	149	1.48	1.49	325	1.49	1.47
[17:26:10] 	1.48	0	0	149	1.48	1.49	325	1.49	1.47
[17:36:52] 	1.48	0	0	149	1.48	1.49	325	1.49	1.47
[17:38:28] 	1.48	0	0	149	1.48	1.49	325	1.49	1.47
[17:38:48] 	1.48	0	0	149	1.48	1.49	325	1.49	1.47
[17:39:07] 	1.48	0	0	149	1.48	1.49	325	1.49	1.47
[18:01:34] 	1.48	0	0	149	1.48	1.49	325	1.49	1.47
[18:04:22] 	1.48	0	0	149	1.48	1.49	325	1.49	1.47
[18:07:02] 	1.48	0	0	149	1.48	1.49	325	1.49	1.47
[18:19:52] 	1.48	0	0	149	1.48	1.49	325	1.49	1.47
[18:20:07] 	1.48	0	0	149	1.48	1.49	325	1.49	1.47
[18:26:32] 	1.48	0	0	149	1.48	1.49	325	1.49	1.47
[18:27:38] 	1.48	0	0	149	1.48	1.49	325	1.49	1.47
[18:28:37] 	1.48	0	0	149	1.48	1.49	325	1.49	1.47
[18:30:11] 	1.48	0	0	149	1.48	1.49	325	1.49	1.47
[18:31:45] 	1.48	0	0	149	1.48	1.49	325	1.49	1.47
[18:33:35] 	1.48	0	0	149	1.48	1.49	325	1.49	1.47
[18:43:53] 	1.48	0	0	149	1.48	1.49	325	1.49	1.47
[10:41:44] 	1.47	-0.01	-0.675	84	1.47	1.48	88	1.47	1.46
