Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[10:32:33] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:40:35] 	0.080	-	-	40	0.080	0.085	238	0.080	0.080
[10:42:53] 	0.080	-	-	40	0.080	0.085	188	0.080	0.080
[10:43:57] 	0.080	-	-	231	0.075	0.080	40	0.080	0.080
[11:03:54] 	0.080	-	-	231	0.075	0.080	90	0.080	0.080
[11:18:39] 	0.080	-	-	241	0.075	0.080	90	0.080	0.080
[11:36:12] 	0.080	-	-	341	0.075	0.080	90	0.080	0.080
[11:47:42] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[11:48:21] 	0.080	-	-	341	0.075	0.080	90	0.080	0.080
[13:05:13] 	0.080	-	-	361	0.075	0.080	90	0.080	0.080
[14:04:24] 	0.080	-	-	361	0.075	0.080	95	0.080	0.080
[14:23:40] 	0.080	-	-	361	0.075	0.080	89	0.080	0.080
[14:25:47] 	0.080	-	-	361	0.075	0.080	82	0.080	0.080
[15:00:43] 	0.080	-	-	361	0.075	0.080	138	0.080	0.080
[16:14:41] 	0.080	-	-	361	0.075	0.080	137	0.080	0.080
[16:22:32] 	0.080	-	-	361	0.075	0.080	86	0.080	0.080
[16:30:26] 	0.080	-	-	361	0.075	0.080	6	0.080	0.080
