Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[07:11:19] 	0.080	+0.005	+6.7	152	0.075	0.085	130	0.080	0.075
[14:03:58] 	0.085	+0.005	+6.3	425	0.080	0.085	48	0.085	0.080
[14:11:19] 	0.085	+0.005	+6.3	435	0.080	0.085	48	0.085	0.080
[14:15:21] 	0.085	+0.005	+6.3	435	0.080	0.085	108	0.085	0.080
[14:19:29] 	0.085	+0.005	+6.3	443	0.080	0.085	108	0.085	0.080
[14:20:31] 	0.085	+0.005	+6.3	443	0.080	0.085	112	0.085	0.080
[14:30:20] 	0.085	+0.005	+6.3	435	0.080	0.085	112	0.085	0.080
[14:34:55] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:36:16] 	0.085	+0.005	+6.3	88	0.085	0.090	271	0.085	0.080
[15:22:20] 	0.085	+0.005	+6.3	435	0.080	0.085	31	0.085	0.080
[15:39:31] 	0.085	+0.005	+6.3	435	0.080	0.085	1	0.085	0.080
[16:10:54] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:43:51] 	0.085	+0.005	+6.3	435	0.080	0.085	11	0.085	0.080
[16:51:08] 	0.085	+0.005	+6.3	484	0.080	0.085	11	0.085	0.080
[16:52:58] 	0.085	+0.005	+6.3	484	0.080	0.085	15	0.085	0.080
