Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[00:00:12] 	0	0	0	308	0.14	0.15	309	0	0
[09:15:43] 	0	0	0	30	0.145	0.15	178	0	0
[10:09:10] 	0	0	0	30	0.145	0.15	278	0	0
[13:25:10] 	0	0	0	80	0.145	0.15	278	0	0
[15:09:12] 	0	0	0	130	0.145	0.15	278	0	0
[15:29:44] 	0	0	0	170	0.145	0.15	278	0	0
[16:40:21] 	0.15	0.005	3.448	170	0.145	0.15	218	0.15	0.15
[16:44:01] 	0.15	0.005	3.448	2	0.15	0.155	150	0.15	0.15
[16:45:49] 	0.15	0.005	3.448	2	0.15	0.155	160	0.15	0.15
[16:46:25] 	0.15	0.005	3.448	170	0.145	0.15	68	0.15	0.15
[16:48:07] 	0.15	0.005	3.448	170	0.145	0.15	108	0.15	0.15
[17:01:00] 	0.15	0.005	3.448	108	0.15	0.15	108	0.15	0.15
[17:02:08] 	0.15	0.005	3.448	170	0.145	0.155	160	0.15	0.15
[17:02:45] 	0.15	0.005	3.448	170	0.145	0.155	160	0.15	0.15
