Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:43:42] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:44:31] 	3.130	-	-	16	3.130	3.140	89	3.140	3.120
[09:46:11] 	3.130	-	-	23	3.130	3.140	87	3.140	3.120
[09:47:15] 	3.130	-	-	23	3.130	3.140	90	3.140	3.120
[09:47:47] 	3.130	-	-	33	3.130	3.140	90	3.140	3.120
[09:49:21] 	3.130	-	-	64	3.130	3.140	101	3.140	3.120
[09:51:47] 	3.130	-	-	74	3.130	3.140	101	3.140	3.120
[09:55:27] 	3.130	-	-	106	3.130	3.140	101	3.140	3.120
[09:57:21] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:58:37] 	3.130	-	-	116	3.130	3.140	101	3.140	3.120
[09:59:31] 	3.130	-	-	107	3.130	3.140	103	3.140	3.120
[10:00:30] 	3.130	-	-	115	3.130	3.140	103	3.140	3.120
[10:01:34] 	3.130	-	-	115	3.130	3.140	124	3.140	3.120
[10:02:49] 	3.130	-	-	141	3.130	3.140	125	3.140	3.120
[10:04:13] 	3.130	-	-	130	3.130	3.140	125	3.140	3.120
[10:06:40] 	3.140	+0.010	+0.3	139	3.130	3.140	127	3.140	3.120
[10:07:45] 	3.140	+0.010	+0.3	139	3.130	3.140	124	3.140	3.120
[10:09:19] 	3.140	+0.010	+0.3	136	3.130	3.140	114	3.140	3.120
[10:11:31] 	3.140	+0.010	+0.3	141	3.130	3.140	114	3.140	3.120
[10:12:45] 	3.140	+0.010	+0.3	144	3.130	3.140	114	3.140	3.120
[10:14:36] 	3.130	-	-	134	3.130	3.140	116	3.140	3.120
[10:15:43] 	3.130	-	-	134	3.130	3.140	117	3.140	3.120
[10:17:48] 	3.130	-	-	131	3.130	3.140	126	3.140	3.120
[10:20:30] 	3.130	-	-	113	3.130	3.140	124	3.140	3.120
[10:21:49] 	3.140	+0.010	+0.3	118	3.130	3.140	90	3.140	3.120
[10:22:53] 	3.140	+0.010	+0.3	124	3.130	3.140	88	3.140	3.120
[10:24:01] 	3.140	+0.010	+0.3	124	3.130	3.140	98	3.140	3.120
[10:25:14] 	3.130	-	-	113	3.130	3.140	98	3.140	3.120
[10:26:21] 	3.140	+0.010	+0.3	104	3.130	3.140	93	3.140	3.120
[10:27:45] 	3.140	+0.010	+0.3	104	3.130	3.140	118	3.140	3.120
[10:29:01] 	3.130	-	-	10	3.130	3.140	127	3.140	3.120
[10:30:09] 	3.130	-	-	34	3.130	3.140	129	3.140	3.120
[10:31:14] 	3.130	-	-	24	3.130	3.140	131	3.140	3.120
[10:32:25] 	3.130	-	-	38	3.130	3.140	131	3.140	3.120
[10:34:25] 	3.130	-	-	49	3.130	3.140	126	3.140	3.120
[10:35:50] 	3.130	-	-	42	3.130	3.140	126	3.140	3.120
[10:38:02] 	3.130	-	-	61	3.130	3.140	126	3.140	3.120
[10:39:06] 	3.130	-	-	67	3.130	3.140	126	3.140	3.120
[10:40:37] 	3.130	-	-	56	3.130	3.140	124	3.140	3.120
[10:42:11] 	3.130	-	-	56	3.130	3.140	124	3.140	3.120
[10:44:33] 	3.130	-	-	54	3.130	3.140	128	3.140	3.120
[10:46:02] 	3.130	-	-	62	3.130	3.140	129	3.140	3.120
[10:47:07] 	3.130	-	-	49	3.130	3.140	129	3.140	3.120
[10:48:15] 	3.130	-	-	44	3.130	3.140	128	3.140	3.120
[10:51:05] 	3.130	-	-	39	3.130	3.140	128	3.140	3.120
[10:52:17] 	3.130	-	-	59	3.130	3.140	128	3.140	3.120
[10:54:01] 	3.130	-	-	49	3.130	3.140	126	3.140	3.120
[10:55:06] 	3.130	-	-	59	3.130	3.140	126	3.140	3.120
[10:56:29] 	3.130	-	-	48	3.130	3.140	126	3.140	3.120
[10:58:00] 	3.130	-	-	42	3.130	3.140	126	3.140	3.120
[10:58:09] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:59:37] 	3.130	-	-	37	3.130	3.140	126	3.140	3.120
[11:01:02] 	3.130	-	-	38	3.130	3.140	104	3.140	3.120
[11:02:17] 	3.130	-	-	11	3.130	3.140	104	3.140	3.120
[11:03:21] 	3.130	-	-	17	3.130	3.140	104	3.140	3.120
[11:07:02] 	3.130	-	-	17	3.130	3.140	106	3.140	3.120
[11:08:40] 	3.130	-	-	215	3.120	3.130	35	3.140	3.120
[11:09:29] 	3.130	-	-	217	3.120	3.130	27	3.140	3.120
[11:10:40] 	3.130	-	-	217	3.120	3.130	36	3.140	3.120
[11:11:49] 	3.130	-	-	211	3.120	3.130	33	3.140	3.120
[11:12:55] 	3.130	-	-	209	3.120	3.130	44	3.140	3.120
[11:14:19] 	3.130	-	-	209	3.120	3.130	41	3.140	3.120
[11:15:28] 	3.130	-	-	214	3.120	3.130	82	3.140	3.120
[11:16:41] 	3.130	-	-	216	3.120	3.130	77	3.140	3.120
[11:17:48] 	3.130	-	-	216	3.120	3.130	24	3.140	3.120
[11:18:55] 	3.130	-	-	213	3.120	3.130	21	3.140	3.120
[11:20:05] 	3.130	-	-	2	3.130	3.140	136	3.140	3.120
[11:20:50] 	3.130	-	-	2	3.130	3.140	141	3.140	3.120
[11:21:46] 	3.130	-	-	12	3.130	3.140	141	3.140	3.120
[11:23:51] 	3.130	-	-	10	3.130	3.140	146	3.140	3.120
[11:24:57] 	3.130	-	-	10	3.130	3.140	158	3.140	3.120
[11:26:10] 	3.130	-	-	15	3.130	3.140	158	3.140	3.120
[11:28:41] 	3.130	-	-	15	3.130	3.140	160	3.140	3.120
[11:29:56] 	3.130	-	-	9	3.130	3.140	170	3.140	3.120
[11:32:06] 	3.130	-	-	209	3.120	3.130	36	3.140	3.120
[11:33:22] 	3.120	-0.010	-0.3	226	3.120	3.130	40	3.140	3.120
[11:33:33] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[11:34:27] 	3.120	-0.010	-0.3	226	3.120	3.130	40	3.140	3.120
[11:37:12] 	3.120	-0.010	-0.3	220	3.120	3.130	44	3.140	3.120
[11:38:33] 	3.130	-	-	221	3.120	3.130	71	3.140	3.120
[11:39:41] 	3.130	-	-	223	3.120	3.130	71	3.140	3.120
[11:40:46] 	3.120	-0.010	-0.3	208	3.120	3.130	77	3.140	3.120
[11:41:51] 	3.130	-	-	196	3.120	3.130	59	3.140	3.120
[11:43:09] 	3.130	-	-	198	3.120	3.130	98	3.140	3.120
[11:44:14] 	3.130	-	-	198	3.120	3.130	100	3.140	3.120
[11:45:30] 	3.120	-0.010	-0.3	193	3.120	3.130	102	3.140	3.120
[11:46:40] 	3.130	-	-	178	3.120	3.130	90	3.140	3.120
[11:47:56] 	3.120	-0.010	-0.3	175	3.120	3.130	79	3.140	3.120
[11:49:00] 	3.120	-0.010	-0.3	179	3.120	3.130	95	3.140	3.120
[11:50:07] 	3.120	-0.010	-0.3	165	3.120	3.130	95	3.140	3.120
[11:51:16] 	3.120	-0.010	-0.3	155	3.120	3.130	95	3.140	3.120
[11:53:12] 	3.120	-0.010	-0.3	147	3.120	3.130	90	3.140	3.120
[11:54:23] 	3.130	-	-	126	3.120	3.130	55	3.140	3.120
[11:55:33] 	3.130	-	-	112	3.120	3.130	51	3.140	3.120
[11:56:37] 	3.120	-0.010	-0.3	92	3.120	3.130	114	3.140	3.120
[11:57:51] 	3.120	-0.010	-0.3	75	3.120	3.130	114	3.140	3.120
[11:58:59] 	3.130	-	-	83	3.120	3.130	112	3.140	3.120
[12:00:46] 	3.120	-0.010	-0.3	76	3.120	3.130	107	3.140	3.120
[12:02:11] 	3.120	-0.010	-0.3	76	3.120	3.130	115	3.140	3.120
[12:03:16] 	3.120	-0.010	-0.3	77	3.120	3.130	121	3.140	3.120
[12:04:29] 	3.120	-0.010	-0.3	48	3.120	3.130	110	3.140	3.120
[12:05:34] 	3.120	-0.010	-0.3	50	3.120	3.130	110	3.140	3.120
[12:06:56] 	3.120	-0.010	-0.3	50	3.120	3.130	123	3.140	3.120
[12:08:19] 	3.120	-0.010	-0.3	31	3.120	3.130	107	3.140	3.120
[12:09:41] 	3.120	-0.010	-0.3	46	3.120	3.130	106	3.140	3.120
[12:10:45] 	3.130	-	-	41	3.120	3.130	102	3.140	3.120
[12:11:51] 	3.130	-	-	33	3.120	3.130	108	3.140	3.120
[12:13:16] 	3.120	-0.010	-0.3	30	3.120	3.130	106	3.140	3.120
[12:14:42] 	3.130	-	-	30	3.120	3.130	101	3.140	3.120
[12:15:58] 	3.120	-0.010	-0.3	28	3.120	3.130	96	3.140	3.120
[12:17:19] 	3.130	-	-	30	3.120	3.130	38	3.140	3.120
[12:18:28] 	3.130	-	-	30	3.120	3.130	40	3.140	3.120
[12:19:34] 	3.130	-	-	60	3.120	3.130	25	3.140	3.120
[12:21:02] 	3.130	-	-	60	3.120	3.130	1	3.140	3.120
[12:22:22] 	3.140	+0.010	+0.3	9	3.130	3.140	125	3.140	3.120
[12:23:22] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:24:23] 	3.140	+0.010	+0.3	24	3.130	3.140	96	3.140	3.120
[12:25:28] 	3.140	+0.010	+0.3	26	3.130	3.140	75	3.140	3.120
[12:26:34] 	3.140	+0.010	+0.3	26	3.130	3.140	82	3.140	3.120
[12:27:49] 	3.140	+0.010	+0.3	37	3.130	3.140	83	3.140	3.120
[12:28:54] 	3.140	+0.010	+0.3	25	3.130	3.140	36	3.140	3.120
[12:30:13] 	3.140	+0.010	+0.3	69	3.340	3.130	3	3.140	3.120
[12:31:29] 	3.140	+0.010	+0.3	20	3.440	2.690	14	3.140	3.120
[12:35:23] 	3.110	-0.020	-0.6	192	3.110	3.120	20	3.140	3.110
[12:46:22] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:47:14] 	3.110	-0.020	-0.6	192	3.110	3.120	20	3.140	3.110
[12:48:22] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:49:44] 	3.110	-0.020	-0.6	192	3.110	3.120	20	3.140	3.110
[13:14:33] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[13:16:06] 	3.110	-0.020	-0.6	192	3.110	3.120	20	3.140	3.110
[16:55:58] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:56:47] 	3.110	-0.020	-0.6	192	3.110	3.120	20	3.140	3.110
[16:57:45] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:59:51] 	3.110	-0.020	-0.6	192	3.110	3.120	20	3.140	3.110
[17:07:51] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[17:09:28] 	3.110	-0.020	-0.6	192	3.110	3.120	20	3.140	3.110
[17:10:19] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[17:11:35] 	3.110	-0.020	-0.6	192	3.110	3.120	20	3.140	3.110
[17:12:06] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[17:13:38] 	3.110	-0.020	-0.6	192	3.110	3.120	20	3.140	3.110
[22:37:07] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[22:37:35] 	3.110	-0.020	-0.6	192	3.110	3.120	20	3.140	3.110
