Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[16:04:38] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:05:41] 	1.820	+0.020	+1.1	11	1.810	1.820	57	1.830	1.800
[16:07:00] 	1.820	+0.020	+1.1	11	1.810	1.820	50	1.830	1.800
[16:12:59] 	1.820	+0.020	+1.1	11	1.810	1.820	5	1.830	1.800
[16:14:20] 	1.820	+0.020	+1.1	11	1.810	1.820	45	1.830	1.800
[16:20:55] 	1.820	+0.020	+1.1	11	1.810	1.820	54	1.830	1.800
[16:22:02] 	1.820	+0.020	+1.1	11	1.810	1.820	5	1.830	1.800
[16:24:14] 	1.820	+0.020	+1.1	9	1.810	1.820	1	1.830	1.800
[16:25:21] 	1.820	+0.020	+1.1	1	1.820	1.830	51	1.830	1.800
[16:26:29] 	1.820	+0.020	+1.1	2	1.820	1.830	51	1.830	1.800
[16:27:55] 	1.820	+0.020	+1.1	13	1.820	1.830	51	1.830	1.800
[16:28:59] 	1.820	+0.020	+1.1	15	1.820	1.830	51	1.830	1.800
[16:30:02] 	1.820	+0.020	+1.1	9	1.810	1.830	51	1.830	1.800
[16:38:57] 	1.820	+0.020	+1.1	12	1.810	1.830	51	1.830	1.800
[16:42:20] 	1.820	+0.020	+1.1	22	1.810	1.830	51	1.830	1.800
[16:43:51] 	1.820	+0.020	+1.1	5	1.820	1.830	51	1.830	1.800
[16:45:41] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:46:43] 	1.820	+0.020	+1.1	22	1.810	1.830	51	1.830	1.800
[16:47:46] 	1.820	+0.020	+1.1	17	1.810	1.830	51	1.830	1.800
[16:53:05] 	1.820	+0.020	+1.1	67	1.810	1.830	51	1.830	1.800
[16:58:45] 	1.830	+0.030	+1.7	77	1.810	1.830	50	1.830	1.800
[16:59:53] 	1.830	+0.030	+1.7	5	1.820	1.830	50	1.830	1.800
[17:01:05] 	1.830	+0.030	+1.7	5	1.820	1.830	7	1.830	1.800
[17:03:23] 	1.830	+0.030	+1.7	7	1.820	1.830	7	1.830	1.800
[17:04:26] 	1.830	+0.030	+1.7	7	1.820	1.830	57	1.830	1.800
[17:06:43] 	1.830	+0.030	+1.7	1	1.820	1.830	57	1.830	1.800
[17:07:52] 	1.820	+0.020	+1.1	1	1.820	1.830	57	1.830	1.800
