Time		Index		Change
[10:02:04] 	<td>		</td>
[10:09:10] 	2,248.50		+3.23
[10:09:41] 	2,247.92		+2.65
[10:10:45] 	2,247.54		+2.27
[10:11:39] 	2,248.28		+3.01
[10:12:39] 	2,249.73		+4.46
[10:13:38] 	2,249.44		+4.17
[10:14:40] 	2,249.68		+4.41
[10:15:44] 	2,250.90		+5.63
[10:16:38] 	2,250.27		+5.00
[10:17:38] 	2,250.57		+5.30
[10:18:44] 	2,250.48		+5.21
[10:19:42] 	2,252.05		+6.78
[10:20:40] 	2,254.40		+9.13
[10:21:41] 	2,254.39		+9.12
[10:22:40] 	2,256.04		+10.77
[10:23:42] 	2,256.22		+10.95
[10:24:39] 	2,258.43		+13.16
[10:25:37] 	2,257.91		+12.64
[10:26:39] 	2,257.47		+12.20
[10:27:46] 	2,257.23		+11.96
[10:28:44] 	2,257.41		+12.14
[10:29:40] 	2,257.58		+12.31
[10:30:39] 	2,256.19		+10.92
[10:31:40] 	2,256.73		+11.46
[10:32:51] 	2,256.95		+11.68
[10:33:44] 	2,256.81		+11.54
[10:34:43] 	2,257.40		+12.13
[10:35:39] 	2,257.97		+12.70
[10:36:42] 	2,257.21		+11.94
[10:37:44] 	2,252.02		+6.75
[10:38:41] 	2,249.87		+4.60
[10:48:39] 	2,241.66		-3.61
[10:49:38] 	2,241.63		-3.64
[10:50:40] 	2,242.44		-2.83
[10:51:47] 	2,242.88		-2.39
[10:52:40] 	2,241.89		-3.38
[10:53:38] 	2,244.95		-0.32
[10:54:39] 	2,244.77		-0.50
[10:55:44] 	2,246.38		+1.11
[10:56:42] 	2,246.68		+1.41
[10:57:40] 	2,247.67		+2.40
[10:58:39] 	2,247.52		+2.25
[10:59:42] 	2,246.61		+1.34
[11:00:38] 	2,246.75		+1.48
[11:01:39] 	2,246.67		+1.40
[11:02:43] 	2,247.83		+2.56
[11:03:40] 	2,243.82		-1.45
[11:04:43] 	2,243.25		-2.02
[11:05:39] 	2,242.31		-2.96
[11:06:40] 	2,244.33		-0.94
[11:07:43] 	2,243.17		-2.10
[11:08:43] 	2,243.37		-1.90
[11:09:44] 	2,242.19		-3.08
[11:10:47] 	2,241.99		-3.28
[11:11:42] 	2,241.79		-3.48
[11:12:38] 	2,241.40		-3.87
[11:13:42] 	2,242.89		-2.38
[11:14:40] 	2,241.38		-3.89
[11:15:41] 	2,242.19		-3.08
[11:16:38] 	2,241.03		-4.24
[11:17:39] 	2,241.34		-3.93
[11:18:41] 	2,241.23		-4.04
[11:19:41] 	2,240.65		-4.62
[11:20:44] 	2,241.71		-3.56
[11:21:39] 	2,243.37		-1.90
[11:22:39] 	2,242.74		-2.53
[11:23:39] 	2,242.60		-2.67
[11:24:39] 	2,244.20		-1.07
[11:25:40] 	2,244.85		-0.42
[11:26:40] 	2,244.99		-0.28
[11:27:40] 	2,244.68		-0.59
[11:28:41] 	2,244.74		-0.53
[11:29:38] 	2,244.41		-0.86
[11:30:38] 	2,246.30		+1.03
[11:31:39] 	2,246.37		+1.10
[11:32:40] 	2,244.58		-0.69
[11:33:42] 	2,245.72		+0.45
[11:34:38] 	2,245.34		+0.07
[11:35:39] 	2,244.34		-0.93
[11:36:40] 	2,244.56		-0.71
[11:37:50] 	2,244.37		-0.90
[11:38:40] 	2,246.17		+0.90
[11:39:38] 	2,247.82		+2.55
[11:40:38] 	2,248.45		+3.18
[11:41:39] 	2,248.00		+2.73
[11:42:44] 	2,247.39		+2.12
[11:43:40] 	2,247.92		+2.65
[11:44:42] 	2,246.50		+1.23
