Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:54:28] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:55:46] 	2.570	+0.040	+1.6	289	2.570	2.580	7	2.590	2.570
[09:56:49] 	2.580	+0.050	+2.0	289	2.570	2.580	78	2.590	2.570
[09:57:59] 	2.580	+0.050	+2.0	182	2.580	2.590	345	2.590	2.570
[09:59:03] 	2.580	+0.050	+2.0	284	2.580	2.590	335	2.590	2.570
[10:00:11] 	2.580	+0.050	+2.0	228	2.580	2.590	338	2.590	2.570
[10:01:14] 	2.580	+0.050	+2.0	170	2.580	2.590	338	2.590	2.570
[10:02:23] 	2.570	+0.040	+1.6	273	2.570	2.580	534	2.590	2.570
[10:03:31] 	2.570	+0.040	+1.6	417	2.560	2.570	187	2.590	2.570
[10:04:33] 	2.560	+0.030	+1.2	412	2.560	2.570	182	2.590	2.560
[10:05:36] 	2.560	+0.030	+1.2	412	2.560	2.570	183	2.590	2.560
[10:07:47] 	2.570	+0.040	+1.6	413	2.560	2.570	182	2.590	2.560
[10:09:10] 	2.570	+0.040	+1.6	414	2.560	2.570	184	2.590	2.560
[10:10:13] 	2.570	+0.040	+1.6	414	2.560	2.570	435	2.590	2.560
[10:11:21] 	2.570	+0.040	+1.6	414	2.560	2.570	434	2.590	2.560
[10:12:29] 	2.570	+0.040	+1.6	418	2.560	2.570	6	2.590	2.560
[10:13:47] 	2.570	+0.040	+1.6	228	2.570	2.580	591	2.590	2.560
[10:14:35] 	2.570	+0.040	+1.6	228	2.570	2.580	595	2.590	2.560
[10:15:06] 	2.570	+0.040	+1.6	229	2.570	2.580	595	2.590	2.560
[10:16:51] 	2.570	+0.040	+1.6	229	2.570	2.580	595	2.590	2.560
[10:17:02] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:17:44] 	2.570	+0.040	+1.6	229	2.570	2.580	595	2.590	2.560
[10:18:22] 	2.570	+0.040	+1.6	239	2.570	2.580	751	2.590	2.560
[10:18:53] 	2.570	+0.040	+1.6	296	2.570	2.580	751	2.590	2.560
[10:19:57] 	2.570	+0.040	+1.6	297	2.570	2.580	751	2.590	2.560
[10:22:04] 	2.570	+0.040	+1.6	297	2.570	2.580	754	2.590	2.560
[10:22:56] 	2.570	+0.040	+1.6	282	2.570	2.580	506	2.590	2.560
[10:24:05] 	2.580	+0.050	+2.0	338	2.570	2.580	513	2.590	2.560
[10:24:26] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
