Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[10:21:25] 	1.900	+0.030	+1.6	29	1.890	1.900	9	1.910	1.870
[00:00:07] 	1.930	+0.060	+3.2	17	1.920	1.930	132	1.930	1.870
[00:03:23] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[00:03:39] 	1.930	+0.060	+3.2	17	1.920	1.930	132	1.930	1.870
[02:05:02] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[02:05:18] 	1.930	+0.060	+3.2	17	1.920	1.930	132	1.930	1.870
[08:29:51] 	-	-	-	-	-	1.970	10	-	-
[08:31:21] 	-	-	-	1	1.930	1.940	10	-	-
[08:31:53] 	-	-	-	1	2.000	1.940	11	-	-
[08:34:56] 	-	-	-	1	2.000	1.830	2	-	-
[08:35:44] 	-	-	-	6	1.940	1.830	2	-	-
[08:39:39] 	-	-	-	7	1.960	1.830	2	-	-
[08:41:47] 	-	-	-	3	1.970	1.830	2	-	-
[08:45:18] 	-	-	-	4	1.970	1.830	3	-	-
[08:48:08] 	-	-	-	100	2.000	1.830	3	-	-
[08:49:43] 	-	-	-	16	1.990	1.830	3	-	-
[08:52:06] 	-	-	-	2	1.970	1.830	3	-	-
[08:53:51] 	-	-	-	1	2.000	1.830	3	-	-
[08:59:51] 	1.950	+0.020	+1.0	2	1.950	1.960	12	1.960	1.950
[09:00:52] 	1.960	+0.030	+1.6	2	1.960	1.970	35	1.960	1.950
[09:02:04] 	1.960	+0.030	+1.6	35	1.950	1.970	27	1.970	1.950
[09:02:42] 	1.950	+0.020	+1.0	29	1.950	1.960	19	1.970	1.950
[09:04:43] 	1.960	+0.030	+1.6	24	1.950	1.960	1	1.970	1.950
[09:06:25] 	1.950	+0.020	+1.0	53	1.950	1.960	36	1.970	1.950
[09:06:40] 	1.950	+0.020	+1.0	47	1.950	1.960	36	1.970	1.950
[09:07:52] 	1.950	+0.020	+1.0	50	1.950	1.960	36	1.970	1.950
[09:08:57] 	1.950	+0.020	+1.0	49	1.950	1.960	36	1.970	1.950
[09:09:45] 	1.950	+0.020	+1.0	47	1.950	1.960	36	1.970	1.950
[09:10:47] 	1.950	+0.020	+1.0	33	1.950	1.960	36	1.970	1.950
[09:11:55] 	1.950	+0.020	+1.0	23	1.950	1.960	22	1.970	1.950
[09:14:14] 	1.950	+0.020	+1.0	24	1.950	1.960	22	1.970	1.950
[09:14:45] 	1.950	+0.020	+1.0	24	1.950	1.960	7	1.970	1.950
[09:15:59] 	1.960	+0.030	+1.6	3	1.950	1.960	18	1.970	1.950
[09:16:42] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:16:58] 	1.960	+0.030	+1.6	5	1.950	1.960	18	1.970	1.950
[09:18:14] 	1.960	+0.030	+1.6	8	1.950	1.960	18	1.970	1.950
[09:20:13] 	1.950	+0.020	+1.0	30	1.940	1.950	3	1.970	1.950
[09:20:44] 	1.950	+0.020	+1.0	3	1.950	1.960	24	1.970	1.950
[09:21:45] 	1.950	+0.020	+1.0	8	1.950	1.960	24	1.970	1.950
[09:25:13] 	1.950	+0.020	+1.0	30	1.940	1.950	3	1.970	1.950
[09:26:00] 	1.950	+0.020	+1.0	4	1.950	1.960	23	1.970	1.950
[09:26:52] 	1.940	+0.010	+0.5	33	1.940	1.950	1	1.970	1.940
[09:30:41] 	1.940	+0.010	+0.5	48	1.940	1.950	6	1.970	1.940
[09:31:46] 	1.940	+0.010	+0.5	76	1.940	1.950	6	1.970	1.940
[09:33:12] 	1.940	+0.010	+0.5	71	1.940	1.950	6	1.970	1.940
[09:34:14] 	1.940	+0.010	+0.5	51	1.940	1.950	6	1.970	1.940
[09:36:02] 	1.950	+0.020	+1.0	15	1.950	1.960	30	1.970	1.940
[09:37:06] 	1.950	+0.020	+1.0	30	1.950	1.960	30	1.970	1.940
[09:40:13] 	1.950	+0.020	+1.0	15	1.950	1.960	16	1.970	1.940
[09:40:47] 	1.940	+0.010	+0.5	46	1.940	1.950	4	1.970	1.940
[09:43:00] 	1.950	+0.020	+1.0	46	1.940	1.960	44	1.970	1.940
[09:44:25] 	1.950	+0.020	+1.0	10	1.950	1.960	44	1.970	1.940
