Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[16:04:38] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:05:41] 	1.960	+0.040	+2.1	53	1.950	1.960	91	1.960	1.940
[16:07:00] 	1.960	+0.040	+2.1	54	1.950	1.960	91	1.960	1.940
[16:08:07] 	1.950	+0.030	+1.6	49	1.950	1.960	90	1.960	1.940
[16:18:42] 	1.950	+0.030	+1.6	19	1.950	1.960	90	1.960	1.940
[16:19:50] 	1.950	+0.030	+1.6	15	1.950	1.960	90	1.960	1.940
[16:20:55] 	1.950	+0.030	+1.6	31	1.950	1.960	90	1.960	1.940
[16:26:29] 	1.950	+0.030	+1.6	31	1.950	1.960	90	1.960	1.940
[16:28:59] 	1.950	+0.030	+1.6	32	1.950	1.960	90	1.960	1.940
[16:31:07] 	1.950	+0.030	+1.6	32	1.950	1.960	90	1.960	1.940
[16:32:19] 	1.950	+0.030	+1.6	40	1.950	1.960	90	1.960	1.940
[16:34:17] 	1.950	+0.030	+1.6	47	1.950	1.960	90	1.960	1.940
[16:35:27] 	1.950	+0.030	+1.6	5	1.950	1.960	90	1.960	1.940
[16:36:30] 	1.950	+0.030	+1.6	25	1.950	1.960	90	1.960	1.940
[16:37:54] 	1.950	+0.030	+1.6	60	1.940	1.950	24	1.960	1.940
[16:38:57] 	1.950	+0.030	+1.6	60	1.940	1.950	72	1.960	1.940
[16:41:17] 	1.950	+0.030	+1.6	63	1.940	1.950	72	1.960	1.940
[16:42:20] 	1.940	+0.020	+1.0	63	1.940	1.950	22	1.960	1.940
[16:43:51] 	1.940	+0.020	+1.0	69	1.940	1.950	75	1.960	1.940
[16:44:54] 	1.940	+0.020	+1.0	50	1.940	1.950	75	1.960	1.940
[16:45:41] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:46:43] 	1.940	+0.020	+1.0	50	1.940	1.950	75	1.960	1.940
[16:47:46] 	1.940	+0.020	+1.0	50	1.940	1.950	81	1.960	1.940
[16:49:52] 	1.940	+0.020	+1.0	16	1.940	1.950	81	1.960	1.940
[16:52:03] 	1.940	+0.020	+1.0	28	1.930	1.940	16	1.960	1.940
[16:53:05] 	1.940	+0.020	+1.0	32	1.930	1.940	18	1.960	1.940
[16:55:15] 	1.940	+0.020	+1.0	32	1.930	1.940	2	1.960	1.940
[16:56:18] 	1.940	+0.020	+1.0	37	1.930	1.940	2	1.960	1.940
[16:58:45] 	1.940	+0.020	+1.0	50	1.930	1.940	2	1.960	1.940
[16:59:53] 	1.940	+0.020	+1.0	37	1.930	1.940	2	1.960	1.940
[17:01:05] 	1.950	+0.030	+1.6	37	1.930	1.950	32	1.960	1.940
[17:02:18] 	1.950	+0.030	+1.6	37	1.930	1.840	3	1.960	1.940
[17:05:28] 	1.950	+0.030	+1.6	1	1.940	1.840	3	1.960	1.940
[17:06:43] 	1.950	+0.030	+1.6	2	1.940	1.840	3	1.960	1.940
[17:07:52] 	1.930	+0.010	+0.5	36	1.930	1.950	32	1.960	1.930
