Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[10:03:14] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:05:23] 	0.535	+0.010	+1.9	315	0.530	0.535	122	0.535	0.520
[10:06:22] 	0.535	+0.010	+1.9	324	0.530	0.535	122	0.535	0.520
[10:06:46] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:08:14] 	0.535	+0.010	+1.9	327	0.530	0.535	130	0.535	0.520
[10:11:46] 	0.535	+0.010	+1.9	327	0.530	0.535	120	0.535	0.520
[10:14:16] 	0.535	+0.010	+1.9	338	0.530	0.535	120	0.535	0.520
[10:15:19] 	0.535	+0.010	+1.9	338	0.530	0.535	220	0.535	0.520
[10:16:21] 	0.535	+0.010	+1.9	338	0.530	0.535	215	0.535	0.520
[10:17:44] 	0.535	+0.010	+1.9	338	0.530	0.535	205	0.535	0.520
[10:18:46] 	0.530	+0.005	+1.0	331	0.530	0.535	200	0.535	0.520
[10:19:50] 	0.530	+0.005	+1.0	315	0.530	0.535	200	0.535	0.520
[10:22:46] 	0.530	+0.005	+1.0	295	0.530	0.535	206	0.535	0.520
[10:23:17] 	0.530	+0.005	+1.0	176	0.530	0.535	211	0.535	0.520
[10:25:22] 	0.530	+0.005	+1.0	170	0.530	0.535	209	0.535	0.520
[10:28:11] 	0.530	+0.005	+1.0	157	0.530	0.535	211	0.535	0.520
[10:29:13] 	0.530	+0.005	+1.0	137	0.530	0.535	196	0.535	0.520
[10:30:31] 	0.530	+0.005	+1.0	136	0.530	0.535	196	0.535	0.520
[10:34:48] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:36:06] 	0.530	+0.005	+1.0	58	0.530	0.535	206	0.535	0.520
[10:37:33] 	0.530	+0.005	+1.0	55	0.530	0.535	190	0.535	0.520
