Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[10:15:11] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:18:59] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:55:41] 	14.54	0.42	2.974	25	14.52	14.54	9	14.64	14.14
[16:56:13] 	14.52	0.4	2.832	22	14.52	14.54	12	14.64	14.14
[16:56:50] 	14.52	0.4	2.832	18	14.52	14.54	3	14.64	14.14
[16:57:23] 	14.54	0.42	2.974	2	14.54	14.56	23	14.64	14.14
[16:58:17] 	14.54	0.42	2.974	3	15.98	14.56	17	14.64	14.14
[16:58:51] 	14.54	0.42	2.974	3	17.14	13.14	7	14.64	14.14
[17:01:42] 	14.54	0.42	2.974	3	17.14	13.1	8	14.64	14.14
[17:03:08] 	14.54	0.42	2.974	3	17.14	13.14	7	14.64	14.14
[17:05:36] 	14.58	0.46	3.257	2	14.56	14.58	28	14.64	14.14
[17:09:05] 	14.58	0.46	3.257	2	14.56	14.58	28	14.64	14.14
[17:11:18] 	14.58	0.46	3.257	2	14.56	14.58	28	14.64	14.14
[17:26:10] 	14.58	0.46	3.257	2	14.56	14.58	28	14.64	14.14
[17:36:52] 	14.58	0.46	3.257	2	14.56	14.58	28	14.64	14.14
[17:38:28] 	14.58	0.46	3.257	2	14.56	14.58	28	14.64	14.14
[17:38:48] 	14.58	0.46	3.257	2	14.56	14.58	28	14.64	14.14
[17:39:07] 	14.58	0.46	3.257	2	14.56	14.58	28	14.64	14.14
[18:01:34] 	14.58	0.46	3.257	2	14.56	14.58	28	14.64	14.14
[18:04:22] 	14.58	0.46	3.257	2	14.56	14.58	28	14.64	14.14
[18:07:02] 	14.58	0.46	3.257	2	14.56	14.58	28	14.64	14.14
[18:19:52] 	14.58	0.46	3.257	2	14.56	14.58	28	14.64	14.14
[18:20:07] 	14.58	0.46	3.257	2	14.56	14.58	28	14.64	14.14
[18:26:32] 	14.58	0.46	3.257	2	14.56	14.58	28	14.64	14.14
[18:27:38] 	14.58	0.46	3.257	2	14.56	14.58	28	14.64	14.14
[18:28:37] 	14.58	0.46	3.257	2	14.56	14.58	28	14.64	14.14
[18:30:11] 	14.58	0.46	3.257	2	14.56	14.58	28	14.64	14.14
[18:31:45] 	14.58	0.46	3.257	2	14.56	14.58	28	14.64	14.14
[18:33:35] 	14.58	0.46	3.257	2	14.56	14.58	28	14.64	14.14
[18:43:53] 	14.58	0.46	3.257	2	14.56	14.58	28	14.64	14.14
[10:41:44] 	14.08	-0.5	-3.429	12	14.08	14.1	17	14.14	13.9
